'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'10/16/23 0:00','10/16/23 0:00','0910 1501 1822 2004 2052',36,M,H,904,400,IC,10
'8/16/23 0:00','8/16/23 0:00','0400 0444 0446 1822',36,F,W,502,400,IC,7
'3/13/23 0:00','3/9/23 0:00','0394 0344',41,F,W,119,400,IC,4
'8/11/21 0:00','8/11/21 0:00',1501,36,M,H,212,400,IC,10
'6/30/23 0:00','6/30/23 0:00','0913 0329 2000 1814 1202 2021',58,F,H,104,307,AA,8
'8/31/24 0:00','8/30/24 0:00',325,36,M,H,203,400,IC,4
'10/3/23 0:00','9/24/23 0:00','2004 0325',36,M,H,403,400,IC,4
'10/26/20 0:00','10/25/20 0:00',329,36,M,H,203,400,IC,8
'2/5/23 0:00','2/3/23 0:00','0100 0930 0922 1822',38,F,B,501,400,IC,3
'5/24/20 0:00','5/24/20 0:00','2000 0329 0913 1300 1814 0432',54,F,B,122,400,AO,8
'3/27/22 0:00','3/26/22 0:00',443,44,M,A,108,511,IC,10
'6/29/24 0:00','6/28/24 0:00',344,36,M,H,101,400,IC,5
'3/19/22 0:00','3/19/22 0:00','0325 0342 0432 0352 0104 0945 1822',36,M,H,406,513,AA,2
'4/15/20 0:00','4/14/20 0:00',344,25,M,O,108,400,IC,3
'1/17/23 0:00','1/16/23 0:00',400,36,M,H,725,400,IC,10
'10/23/21 0:00','10/22/21 0:00','0913 0344 0354 0352',53,F,H,502,400,IC,3
'5/8/23 0:00','5/5/23 0:00','1202 1822 0344',62,M,B,502,400,IC,4
'9/4/21 0:00','8/23/21 0:00','1822 0930',27,F,O,501,400,IC,3
'2/25/23 0:00','2/24/23 0:00',344,36,M,H,108,400,IC,5
'2/22/23 0:00','2/22/23 0:00',344,36,M,H,108,400,IC,5
'3/30/23 0:00','3/29/23 0:00',344,36,M,H,101,400,IC,5
'4/14/21 0:00','4/14/21 0:00',329,28,M,H,502,400,IC,8
'8/23/21 0:00','8/20/21 0:00',344,36,M,H,101,400,IC,5
